TIME: (Re)reading blacklist. Active children: 0
192.168.42.0		12:23:34:45:56:67
192.168.42.1		ab:bc:cd:ef:f0:11
192.168.42.2		10:11:10:10:10:ff
!192.168.0.23		de:ad:be:ef:00:XX
192.168.0.42		de:ad:be:ef:00:XX
0.0.0.0/255.255.255.255		de:ad:be:ef:00:XX
255.255.255.255/255.255.255.255	de:ad:be:ef:00:XX
42.0.0.0/255.255.255.0		de:ad:be:ef:00:XX
42.1.0.0/255.255.255.0		11:22:33:44:55:66
!192.168.42.0/255.255.255.0	de:ad:be:ef:00:XX
0.0.0.0/8.15.0.255		de:ad:be:ef:00:XX
8.2.0.0/8.15.0.255		66:55:44:33:22:11
!192.160.0.0/255.240.0.0	de:ad:be:ef:00:XX
!127.128.0.0/255.128.0.0	de:ad:be:ef:00:XX
42.0.0.0/255.0.0.0		44:55:66:11:22:33
127.0.0.0/255.0.0.0		de:ad:be:ef:00:XX
0.0.0.0/0.0.0.0			de:ad:be:ef:00:XX
